chain,label,rows,blocks,contracts,topic0s,txs,window_seconds,pull_ms,top_emitter
ethereum,Ethereum L1,7808,21,1024,324,2911,240.0,8309,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
base,Base (OP Stack),28529,50,1629,671,4995,98.0,17881,0x4200000000000000000000000000000000000006
arbitrum,Arbitrum One,647,47,138,119,105,12.0,2313,0x82af49447d8a07e3bd95bd0d56f35241523fbab1
optimism,Optimism,4729,50,545,263,722,98.0,6057,0x4200000000000000000000000000000000000006
polygon,Polygon PoS,20377,50,984,537,4878,104.0,15088,0x0000000000000000000000000000000000001010
linea,Linea (zkEVM),955,50,145,130,204,98.0,2828,0xe5d7c2a44ffddf6b295a15c148167daaaf5cf34f
scroll,Scroll (zkEVM),1139,50,170,131,285,146.0,2866,0x5300000000000000000000000000000000000004
unichain,Unichain (Uniswap L2),142,30,25,19,63,49.0,2007,0xec4a56061d86955d0df883efb2e5791d99ea71f2
